ts_utc,event,figi,ticker,side,lots,price,order_id,client_uid,status,reason,meta
2026-03-01T20:31:11.067817,SUBMIT,BBG004731354,ROSN,SELL,1,405.800000,7a38b3a6-77b8-4c93-8a54-5b3c50d6a610,366303ec-c3bb-4e64-97f8-6e5828a97116,NEW,limit_sell_to_close,
2026-03-01T20:31:11.467683,SUBMIT,BBG004RVFFC0,TATN,SELL,1,559.300000,0ca7d7d1-2bef-45f5-8fb4-eee790dfc55d,88d159ed-7e32-4e63-9d75-925dd849f2b8,NEW,limit_sell_to_close,
2026-03-02T07:43:10.120435,SIGNAL,BBG004731489,GMKN,BUY,1,162.860000,,,,mean_reversion last<162.8879 edge_atr=0.163,limit_price=162.88787427158653
2026-03-02T07:43:10.717129,SUBMIT,BBG004731489,GMKN,BUY,1,162.900000,9089aa35-0142-47a7-9543-31c62bb21380,812ac1a8-4a04-4e79-8818-310ed03fb75b,NEW,limit_buy,est_cost=1629.0
2026-03-02T07:56:54.698401,SIGNAL,BBG004731489,GMKN,SELL,1,163.440000,,,,take_profit last>=163.3508,limit_price=163.44
2026-03-02T07:56:55.281897,SUBMIT,BBG004731489,GMKN,SELL,1,163.440000,d2e0dc62-1f41-431e-aaaf-6f8293c9eaa3,3832f906-1a75-4748-8656-43692594c960,NEW,limit_sell_to_close,
2026-03-02T09:30:18.120231,SIGNAL,BBG004730RP0,GAZP,BUY,1,129.900000,,,,mean_reversion last<129.9505 edge_atr=0.406,limit_price=129.9504994874755
2026-03-02T09:30:18.625955,SUBMIT,BBG004730RP0,GAZP,BUY,1,129.960000,6e9cf63e-dfd5-4f6c-9823-749013e524c8,5f70b270-dddd-477c-84d0-2a73d67eda10,NEW,limit_buy,est_cost=1299.6000000000001
2026-03-02T09:30:18.846186,SIGNAL,BBG004731354,ROSN,BUY,1,424.400000,,,,mean_reversion last<424.7574 edge_atr=0.466,limit_price=424.75744088919026
2026-03-02T09:30:19.293270,SUBMIT,BBG004731354,ROSN,BUY,1,424.800000,6b1ebe20-80e8-421e-8f8e-d9ecac4d6cea,ca7ee292-0e70-4583-b165-dec16c6ebc3e,NEW,limit_buy,est_cost=424.8
2026-03-02T09:31:14.509618,SIGNAL,BBG004730RP0,GAZP,BUY,1,129.880000,,,,mean_reversion last<129.9523 edge_atr=0.582,limit_price=129.95232431680992
2026-03-02T09:31:14.848631,SUBMIT,BBG004730RP0,GAZP,BUY,1,129.960000,d519dfba-1107-4941-9ccc-9c454376b9d1,67056e1c-b036-4c71-bb9e-d039c2f75a71,NEW,limit_buy,est_cost=1299.6000000000001
